IBM,JPM,GE
91.813,41.875,52.0
99.25,42.813,51.438
99.5,42.063,52.375
99.25,40.875,52.25
98.313,40.938,52.688
101.5,39.75,51.2533
103.25,38.563,50.063
98.5,38.313,49.9998
99.375,37.938,49.5
100.438,39.438,50.125
98.75,39.438,49.125
97.75,37.375,49.25
98.0,37.188,49.2533
94.438,37.125,50.875
96.004,37.375,51.0
100.438,38.625,51.7492
101.7503,41.25,53.563
95.063,39.438,53.125
98.0,40.313,54.5
96.5,40.25,55.188
95.25,42.5,53.875
94.875,43.938,52.813
92.0,42.313,52.75
90.0,42.0,50.375
88.375,44.0,50.563
90.188,44.75,51.0
85.875,44.813,48.563
85.5,43.438,47.563
84.5,45.438,48.125
89.0,45.625,48.625
84.75,45.063,49.188
83.5,46.1865,48.938
86.938,46.938,48.5
84.5,44.625,46.75
83.75,43.438,44.2533
94.75,51.5,47.313
93.938,50.75,47.75
93.5,49.0,47.25
94.438,49.875,45.938
92.5,49.5,44.125
92.938,51.1212,45.625
93.688,54.0,46.813
93.75,53.5,45.688
95.375,52.938,48.0
104.375,51.5,47.375
107.5,50.75,47.813
109.5,50.563,46.875
109.563,50.125,46.5
109.063,52.688,46.5
110.1303,53.0,46.375
109.625,53.438,46.438
112.5,54.19,44.87
115.0,55.1,44.76
115.75,56.49,46.75
112.4,54.99,46.5
112.75,55.0,46.25
109.4,54.51,46.38
112.2312,54.0077,47.85
113.4,52.35,47.67
116.91,52.33,47.75
114.03,51.6881,47.14
110.55,52.47,45.6612
114.15,52.54,47.66
113.75,51.75,47.1607
116.8,51.38,46.3
114.55,50.4,46.5
114.55,51.99,47.2
109.55,48.95,47.7
106.5,47.75,47.3491
107.5,47.05,46.55
105.8,48.0,47.0006
104.9,48.95,47.48
102.95,47.89,48.0
99.3,45.6,45.4996
104.001,45.6,45.35
102.81,45.9,44.75
106.25,48.25,46.25
107.45,48.4,45.47
107.17,50.25,46.15
105.0,49.6,45.25
97.9,47.5,43.0
95.1,46.75,41.5
95.4,45.0,40.75
96.0,44.9,41.5
93.9,45.26,40.4
91.0,44.4,40.7
91.6,45.46,41.5
88.45,42.79,40.05
89.12,40.05,38.75
93.5,40.3,38.75
95.25,42.15,40.5
94.0,42.11,40.75
97.9,42.7,41.25
94.4611,42.8,41.3
96.5,43.15,41.75
97.45,44.5,41.52
94.6,44.12,41.55
90.45,41.4,39.55
95.8,41.3,41.0
98.0,41.6,41.55
98.5008,39.9,41.44
97.0,41.4,42.75
101.5,44.25,44.4
96.4,44.25,43.55
96.2,45.37,44.53
97.0,45.05,44.1
103.0,46.9493,45.88
112.0,49.0,47.5
114.35,48.79,48.51
114.01,47.95,47.7469
113.4022,47.8,47.0
112.0,47.51,46.7
114.95,47.75,48.944
116.8,49.47,49.36
116.4,50.04,49.99
115.85,48.49,48.05
118.3,49.25,49.03
114.6,48.6,49.1
112.0,48.25,47.6
116.2,49.05,49.93
117.25,48.75,49.96
116.2,47.25,49.0
118.5,48.0,50.15
113.75,47.52,49.84
111.2,46.4,49.01
113.5,47.4,49.73
112.5,47.39,49.99
115.8,48.06,52.0
115.07,48.8,52.11
117.95,48.48,52.99
119.6942,49.85,53.15
117.8,49.8,52.45
117.5,48.95,51.25
119.52,49.25,51.2
117.35,49.0,50.39
114.0067,49.33,49.67
112.65,48.55,49.15
112.5,49.25,48.99
113.25,48.75,49.096
113.64,49.5,49.2
117.6,47.55,49.0
117.0,46.0,48.75
117.5,45.15,48.84
116.3,44.25,47.8493
116.75,43.6,47.4
117.25,43.8486,48.1
115.6,43.65,47.85
115.1,43.9,48.2983
113.98,44.5,49.0
116.26,44.9,49.8
113.5,44.55,48.7
112.1562,45.7,50.4
112.6,46.6,51.0936
113.75,46.0,51.7
111.25,44.0472,49.0
113.1,44.2,48.7
113.8,44.4,47.75
115.6,44.75,49.0
113.5,44.7981,48.92
114.1,45.75,49.5
112.6,45.8,48.8
110.9,45.28,48.2
106.5,44.3957,46.9
104.73,43.5,46.75
101.6,41.96,45.8
105.9,42.45,45.9
106.15,42.29,46.6
108.53,42.9,47.15
106.1,41.39,45.75
106.1,41.0,45.6
105.6,43.83,46.3
103.4,43.45,46.7
105.7,43.4,46.5
104.85,42.76,45.4
104.5,43.15,44.4
104.75,42.7,43.95
104.7469,42.8,44.15
104.9,43.6,44.55
105.9,43.5,43.3486
105.35,43.2,43.0
108.5,43.55,43.1
107.8065,43.51,42.3
107.25,43.32,42.4
105.8,42.62,41.45
105.0,42.35,42.35
103.7,42.05,41.65
103.85,41.9,42.0
105.0,41.81,42.5
106.5,42.12,42.6
106.35,42.07,42.0
104.2,42.1992,41.53
105.49,41.85,41.2991
104.6805,41.3,41.0
103.85,40.9,41.52
102.5069,40.7,40.55
104.0,40.91,40.9
103.95,40.3,41.1
106.99,40.78,42.0
106.9,40.9,42.25
105.75,40.28,41.65
102.75,39.25,40.7
101.0,39.11,40.15
100.15,39.5,40.9
101.5,40.0017,40.98
100.68,38.0,41.3
97.9,36.0,40.0
96.0,36.3,39.01
93.9,34.9992,35.5
94.0,35.1,35.2
96.3931,35.0,34.4
94.1,33.15,31.3
90.6,29.25,29.0
91.8,31.65,33.75
94.1,32.55,35.21
94.45,33.73,36.0
91.3,32.5,35.6
90.2,33.6,36.3
91.72,34.3,37.3
92.3,34.4,37.55
92.8936,34.52,37.65
97.15,35.15,38.45
96.65,34.5,37.39
98.03,32.5,36.75
98.5,32.2,36.8
95.0,32.7,36.81
97.7,33.55,38.3989
98.7,32.99,38.94
99.85,32.1,38.55
101.87,34.0,38.86
106.3,35.5,38.75
103.05,34.65,37.1
101.65,34.15,37.0
102.65,33.88,37.15
105.75,35.9,38.0
106.5,35.95,37.28
108.05,36.15,36.85
110.0,37.48,38.24
110.5,37.1,38.65
107.8,35.3,36.75
109.6,36.01,36.6
107.25,36.09,36.25
109.15,36.09,37.6
109.95,36.5,38.6
109.6,36.6084,38.77
113.05,37.7184,39.65
113.96,38.65,39.55
113.1,38.8,40.29
113.0,38.76,39.9
115.7,39.8547,40.0
116.7,39.9,40.95
114.1,39.61,40.88
115.0,39.55,41.55
114.7,39.6,41.15
114.35,39.85,41.2
114.95,39.4,41.0
114.29,38.6,40.65
115.9,39.39,41.45
116.25,39.65,41.2
114.1,39.49,40.25
112.9,37.4,39.35
114.43,38.31,39.73
114.8,36.9,38.4
114.3,37.0,37.75
116.85,37.7,37.6
120.5,39.25,37.9
119.5,40.25,37.76
120.0,39.77,37.2
120.4,38.76,37.35
121.12,38.7505,37.45
121.55,37.4,36.85
120.8,36.6,37.05
120.15,36.1,37.8
121.51,36.95,39.75
121.9,37.2,39.7
123.89,36.85,40.8
122.7,36.52,41.1
122.0499,35.76,41.34
122.0,36.04,40.9
122.75,36.25,40.5
123.5,36.5487,40.77
122.75,36.4501,40.55
120.6,36.49,40.3
121.5,36.5,40.45
124.05,38.02,40.8
125.0,39.05,40.65
124.25,39.0,39.65
124.7,38.85,38.7
123.75,38.4,38.55
121.5,39.25,39.1
120.0,37.65,38.2
118.05,37.31,37.8
118.0,37.5,38.4
119.85,37.0,38.9
114.25,36.15,38.44
114.25,36.0,39.45
110.8,35.35,38.3
108.7988,36.25,38.1
108.5,35.45,38.0
109.5,35.15,38.6
108.15,34.06,38.0
104.25,31.52,36.4
106.4,33.11,37.0
107.64,34.05,36.9
108.0,32.17,35.9
